DOI;Fonte;Idioma;Palavra-chave;Citacao;Ano de Publicacao;Numero de Paginas
10.1016/j.jclepro.2019.118397;JOURNAL OF CLEANER PRODUCTION;English;LIFE-CYCLE ASSESSMENT;31;2019;15
10.1016/j.seppur.2019.115835;SEPARATION AND PURIFICATION TECHNOLOGY;English;NANOFIBROUS MEMBRANES;40;2019;10
10.22320/07190700.2019.09.02.07;REVISTA HABITAT SUSTENTABLE;Spanish;LIFE-CYCLE ASSESSMENT;56;2019;15
10.1007/s10098-019-01758-1;CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY;English;WASTE MINIMIZATION;58;2019;18
10.1007/s13762-019-02371-x;INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY;English;LIFE-CYCLE ASSESSMENT;44;2019;10
10.1007/s41062-019-0239-7;INNOVATIVE INFRASTRUCTURE SOLUTIONS;English;LIFE-CYCLE ASSESSMENT;22;2019;10
10.1016/j.jclepro.2019.118054;JOURNAL OF CLEANER PRODUCTION;English;MICRO CRYSTALLINE CELLULOSE;50;2019;13
10.1080/09537287.2019.1695006;PRODUCTION PLANNING & CONTROL;English;BUILDING DECONSTRUCTION;84;2020;12
10.1080/00038628.2019.1689914;ARCHITECTURAL SCIENCE REVIEW;English;LCA DATA QUALITY;54;2020;10
10.1108/ECAM-11-2018-0492;ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT;English;CONSTRUCTION WASTE;55;2019;20
10.1155/2019/1609523;ADVANCES IN CIVIL ENGINEERING;English;LIFE-CYCLE ASSESSMENT;48;2019;18
10.3390/su11226274;SUSTAINABILITY;English;SUSTAINABILITY ASSESSMENT;77;2019;18
10.1016/j.autcon.2019.102925;AUTOMATION IN CONSTRUCTION;English;INFORMATION MODELING BIM;42;2019;12
10.1016/j.autcon.2019.102858;AUTOMATION IN CONSTRUCTION;English;REINFORCED-CONCRETE BEAMS;52;2019;16
10.1016/j.apenergy.2019.05.101;APPLIED ENERGY;English;ENVIRONMENTAL IMPACTS;44;2019;17
10.1108/BIJ-08-2018-0238;BENCHMARKING-AN INTERNATIONAL JOURNAL;English;CRITICAL SUCCESS FACTORS;97;2019;42
10.1016/j.jclepro.2019.04.232;JOURNAL OF CLEANER PRODUCTION;English;PERFORMANCE RELATIONSHIPS;75;2019;11
10.1080/15623599.2019.1637098;INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT;English;IMPACT ASSESSMENT;59;2019;15
10.1108/CI-08-2018-0065;CONSTRUCTION INNOVATION-ENGLAND;English;CRITICAL SUCCESS FACTORS;81;2019;22
10.1108/CI-08-2018-006698;NODO;Spanish;LIFE-CYCLE ASSESSMENT;25;2019;10
10.1016/j.resconrec.2019.02.020;RESOURCES CONSERVATION AND RECYCLING;English;DEMOLITION WASTE;57;2019;13
10.1016/j.autcon.2019.02.011;AUTOMATION IN CONSTRUCTION;English;GREENHOUSE-GAS EMISSIONS;85;2019;23
10.1061/(ASCE)EI.1943-5541.0000412;JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE;English;SUSTAINABILITY LITERACY;89;2019;12
10.1016/j.jclepro.2019.03.172;JOURNAL OF CLEANER PRODUCTION;English;INFORMATION MODELING BIM;58;2019;11
10.3390/buildings9060139;BUILDINGS;English;INFORMATION MODELING BIM;97;2019;19
10.1080/15623599.2019.1615755;INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT;English;KEY PERFORMANCE INDICATORS;73;2019;18
10.1016/j.chemer.2019.05.003;GEOCHEMISTRY;English;ORGANIC-CARBON BURIAL;119;2019;22
10.3390/buildings9050114;BUILDINGS;English;CYCLE ASSESSMENT;110;2019;21
10.1680/jensu.17.00074;PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-ENGINEERING SUSTAINABILITY;English;DEMOLITION WASTE;86;2019;12
10.1016/j.jobe.2019.01.017;JOURNAL OF BUILDING ENGINEERING;English;LIFE-CYCLE ASSESSMENT;41;2019;10
10.1016/j.buildenv.2019.01.034;BUILDING AND ENVIRONMENT;English;ENERGY;31;2019;10
10.3390/en12081515;ENERGIES;English;IMPACT ASSESSMENT;85;2019;22
10.3390/su11071896;SUSTAINABILITY;English;CONSTRUCTION PROJECTS;58;2019;17
10.1680/jensu.18.00015;PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-ENGINEERING SUSTAINABILITY;English;ENERGY;26;2019;8
10.1016/j.wasman.2019.03.010;WASTE MANAGEMENT;English;DEMOLITION WASTE;47;2019;8
10.1080/15623599.2019.1583850;INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT;English;DEMOLITION WASTE;66;2019;18
10.1108/BEPAM-01-2018-0002;BUILT ENVIRONMENT PROJECT AND ASSET MANAGEMENT;English;GREENHOUSE-GAS EMISSIONS;30;2019;13
10.1002/bate.201800089;BAUTECHNIK;German;LIFE-CYCLE ASSESSMENT;11;2019;10
10.1016/j.jobe.2018.12.021;JOURNAL OF BUILDING ENGINEERING;English;INFORMATION MODELING BIM;130;2019;15
10.1016/j.jclepro.2018.11.247;JOURNAL OF CLEANER PRODUCTION;English;LIFE-CYCLE ASSESSMENT;66;2019;12
10.1680/jwarm.17.00027;PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WASTE AND RESOURCE MANAGEMENT;English;LIFE-CYCLE ASSESSMENT;32;2019;11
10.13128/techne-7520;TECHNE-JOURNAL OF TECHNOLOGY FOR ARCHITECTURE AND ENVIRONMENT;English;BIM;10;2019;9
10.1108/WJSTSD-05-2018-0048;WORLD JOURNAL OF SCIENCE TECHNOLOGY AND SUSTAINABLE DEVELOPMENT;English;CONSTRUCTION-INDUSTRY;34;2019;12
10.3311/PPci.12551;PERIODICA POLYTECHNICA-CIVIL ENGINEERING;English;COLLIDING BODIES OPTIMIZATION;34;2019;11
10.1016/j.jobe.2018.10.009;JOURNAL OF BUILDING ENGINEERING;English;ASSESSMENT LCA;40;2019;15
10.1016/j.resconrec.2018.09.029;RESOURCES CONSERVATION AND RECYCLING;English;OFF-SITE CONSTRUCTION;146;2019;14
10.3390/ijerph15112350;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;English;LIFE-CYCLE ASSESSMENT;122;2018;20
10.1016/j.jobe.2018.06.017;JOURNAL OF BUILDING ENGINEERING;English;CRITICAL SUCCESS FACTORS;70;2018;12
10.1016/j.jobe.2018.07.022;JOURNAL OF BUILDING ENGINEERING;English;BIM-BASED FRAMEWORK;37;2018;8
10.1016/j.jclepro.2018.07.149;JOURNAL OF CLEANER PRODUCTION;English;EARLY-STAGE;51;2018;12
10.1016/j.autcon.2018.07.012;AUTOMATION IN CONSTRUCTION;English;FACILITY MANAGEMENT;59;2018;12
10.1002/bapi.201800016;BAUPHYSIK;German;LIFE-CYCLE ASSESSMENT;30;2018;12
10.3390/buildings8090129;BUILDINGS;English;LIFE-CYCLE ASSESSMENT;102;2018;33
10.3390/buildings8090125;BUILDINGS;English;GREENHOUSE-GAS EMISSIONS;82;2018;14
10.1061/(ASCE)AE.1943-5568.0000303;JOURNAL OF ARCHITECTURAL ENGINEERING;English;LIFE-CYCLE ASSESSMENT;73;2018;15
10.1016/j.enbuild.2018.05.042;ENERGY AND BUILDINGS;English;REINFORCED-CONCRETE FRAMES;90;2018;14
10.1016/j.buildenv.2018.05.006;BUILDING AND ENVIRONMENT;English;LIFE-CYCLE ASSESSMENT;63;2018;9
10.3390/su10082604;SUSTAINABILITY;English;DEMOUNTABLE SHEAR CONNECTORS;52;2018;20
10.3390/buildings8080113;BUILDINGS;English;ADAPTIVE REUSE;25;2018;22
10.1016/j.enbuild.2018.03.067;ENERGY AND BUILDINGS;English;LIFE-CYCLE ASSESSMENT;39;2018;14
10.1016/j.scs.2018.03.033;SUSTAINABLE CITIES AND SOCIETY;English;CRITICAL SUCCESS FACTORS;96;2018;12
10.1016/j.autcon.2018.03.017;AUTOMATION IN CONSTRUCTION;English;WASTE ESTIMATION;73;2018;20
10.1016/j.jenvman.2017.04.093;JOURNAL OF ENVIRONMENTAL MANAGEMENT;English;RADIO-FREQUENCY IDENTIFICATION;65;2018;10
10.1016/j.autcon.2018.02.028;AUTOMATION IN CONSTRUCTION;English;LIFE-CYCLE ASSESSMENT;46;2018;13
10.1016/j.jclepro.2018.02.070;JOURNAL OF CLEANER PRODUCTION;English;ENVIRONMENTAL IMPACTS;60;2018;15
10.1016/j.buildenv.2018.02.016;BUILDING AND ENVIRONMENT;English;LIFE-CYCLE ASSESSMENT;88;2018;9
10.1007/s13738-017-1253-3;JOURNAL OF THE IRANIAN CHEMICAL SOCIETY;English;HETEROCYCLIC CARBENE-PALLADIUM;49;2018;8
10.1016/j.resconrec.2017.10.026;RESOURCES CONSERVATION AND RECYCLING;English;CONSTRUCTION WASTE;68;2018;12
10.1016/j.snb.2017.08.072;SENSORS AND ACTUATORS B-CHEMICAL;English;SODIUM DODECYL-SULFATE;70;2018;12
10.1007/s12205-017-0595-9;KSCE JOURNAL OF CIVIL ENGINEERING;English;CONSTRUCTION WASTE;41;2018;11
10.1016/j.jclepro.2017.11.087;JOURNAL OF CLEANER PRODUCTION;English;END-OF-LIFE;45;2018;13
10.1016/j.jclepro.2017.11.0889;IN BO-RICERCHE E PROGETTI PER IL TERRITORIO LA CITTA E L ARCHITETTURA;English;LIFE-CYCLE ASSESSMENT;30;2018;12
10.1108/BEPAM-10-2017-0093;BUILT ENVIRONMENT PROJECT AND ASSET MANAGEMENT;English;LIFE-CYCLE ASSESSMENT;39;2018;13
10.1080/17452007.2018.1458593;ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT;English;OPERATIONAL-RESEARCH;40;2018;15
10.1016/j.jobe.2017.10.005;JOURNAL OF BUILDING ENGINEERING;English;LIFE-CYCLE ASSESSMENT;87;2017;12
10.1016/j.scs.2017.08.013;SUSTAINABLE CITIES AND SOCIETY;English;LIFE-CYCLE ASSESSMENT;58;2017;9
10.17223/22220836/27/4;VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA-KULTUROLOGIYA I ISKUSSTVOVEDENIE-TOMSK STATE UNIVERSITY JOURNAL OF CULTURAL STUDIES AND ART HISTORY;Russian;CONSTRUCTION WASTE;19;2017;10
10.1101/gad.302497.117;GENES & DEVELOPMENT;English;BH3-ONLY PROTEIN BIM;68;2017;16
10.1007/s12008-016-0335-2;INTERNATIONAL JOURNAL OF INTERACTIVE DESIGN AND MANUFACTURING - IJIDEM;English;DESIGN;50;2017;13
10.1016/j.jclepro.2017.04.010;JOURNAL OF CLEANER PRODUCTION;English;CEMENT;34;2017;12
10.1016/j.autcon.2017.02.008;AUTOMATION IN CONSTRUCTION;English;CONSTRUCTION SITE LAYOUT;50;2017;12
10.1016/j.rser.2017.01.084;RENEWABLE & SUSTAINABLE ENERGY REVIEWS;English;BUILDING CONSTRUCTION;80;2017;9
10.1016/j.jclepro.2017.03.138;JOURNAL OF CLEANER PRODUCTION;English;GREENHOUSE-GAS EMISSIONS;48;2017;13
10.1021/acs.molpharmaceut.6b01178;MOLECULAR PHARMACEUTICS;English;CATHEPSIN-B;59;2017;10
10.3390/su9050843;SUSTAINABILITY;English;GREENHOUSE-GAS EMISSIONS;34;2017;21
10.1061/(ASCE)AE.1943-5568.0000222;JOURNAL OF ARCHITECTURAL ENGINEERING;English;ENERGY;49;2017;9
10.1039/c6gc03026b;GREEN CHEMISTRY;English;CO2 CAPTURE;32;2017;9
10.1680/jwarm.16.00016;PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WASTE AND RESOURCE MANAGEMENT;English;CONSTRUCTION WASTE;13;2017;4
10.1016/j.enbuild.2016.12.009;ENERGY AND BUILDINGS;English;LIFE-CYCLE ASSESSMENT;76;2017;11
10.1016/j.bbrc.2016.12.037;BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS;English;INDUCED APOPTOSIS;45;2017;7
10.1016/j.rser.2016.09.028;RENEWABLE & SUSTAINABLE ENERGY REVIEWS;English;EMBODIED ENERGY;143;2017;15
10.1016/j.jclepro.2015.12.085;JOURNAL OF CLEANER PRODUCTION;English;MANAGEMENT;37;2017;10
10.7717/peerj.2445;PEERJ;English;PROTEIN CONJUGATION SYSTEM;40;2016;24
10.1016/j.autcon.2016.08.005;AUTOMATION IN CONSTRUCTION;English;INTEROPERABILITY;59;2016;16
10.1055/s-0035-1561655;SYNTHESIS-STUTTGART;English;ONE-POT SYNTHESIS;84;2016;8
10.1016/j.enbuild.2016.07.007;ENERGY AND BUILDINGS;English;LIFE-CYCLE ASSESSMENT;44;2016;13
10.1016/j.enbuild.2016.06.080;ENERGY AND BUILDINGS;English;LIFE-CYCLE ASSESSMENT;233;2016;17
10.3390/su8080752;SUSTAINABILITY;English;BUILDINGS;37;2016;14
10.1016/j.scs.2016.03.006;Sustainable Cities and Society;English;BUILDINGS;78;2016;9
10.1016/j.molcata.2016.01.015;JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL;English;IONIC LIQUIDS;42;2016;7
10.1016/j.habitatint.2015.11.005;HABITAT INTERNATIONAL;English;LIFE-CYCLE ASSESSMENT;59;2016;9
10.1016/j.jclepro.2015.08.078;JOURNAL OF CLEANER PRODUCTION;English;ENERGY-CONSUMPTION;55;2016;13
10.1016/j.toxrep.2016.10.009;TOXICOLOGY REPORTS;English;NF-KAPPA-B;41;2016;9
10.1080/01446193.2016.1164327;CONSTRUCTION MANAGEMENT AND ECONOMICS;English;DECISION-MAKING;55;2016;14
10.1016/j.enbuild.2015.09.040;ENERGY AND BUILDINGS;English;ENERGY;61;2015;12
10.3390/buildings5041156;BUILDINGS;English;ENERGY;51;2015;15
10.1016/j.resconrec.2015.10.018;RESOURCES CONSERVATION AND RECYCLING;English;DEMOLITION WASTE;68;2015;10
10.3390/su71215830;SUSTAINABILITY;English;DEMOLITION WASTE;29;2015;15
10.1016/j.resconrec.2015.06.001;RESOURCES CONSERVATION AND RECYCLING;English;LIFE-CYCLE;73;2015;12
10.1016/j.autcon.2015.06.003;AUTOMATION IN CONSTRUCTION;English;CONSTRUCTION;119;2015;10
10.1016/j.autcon.2015.04.006;AUTOMATION IN CONSTRUCTION;English;INFORMATION-RETRIEVAL;47;2015;12
10.1016/j.jclepro.2014.08.055;JOURNAL OF CLEANER PRODUCTION;English;PRODUCT;74;2015;12
10.1016/j.rser.2015.02.055;RENEWABLE & SUSTAINABLE ENERGY REVIEWS;English;ENVIRONMENTAL ASSESSMENT METHODS;44;2015;9
10.1002/aoc.3297;APPLIED ORGANOMETALLIC CHEMISTRY;English;HETEROCYCLIC CARBENE COMPLEXES;46;2015;7
10.1021/es505938u;ENVIRONMENTAL SCIENCE & TECHNOLOGY;English;LCA;37;2015;9
10.1680/macr.14.00211;MAGAZINE OF CONCRETE RESEARCH;English;AGGREGATE CONCRETE;22;2015;16
10.1039/c4ra14111c;RSC ADVANCES;English;CYCLIC CARBONATES;48;2015;8
10.1155/2015/954651;ADVANCES IN MATERIALS SCIENCE AND ENGINEERING;English;ENERGY-CONSUMPTION;47;2015;15
10.1155/2015/281640;MATHEMATICAL PROBLEMS IN ENGINEERING;English;LIFE-CYCLE ASSESSMENT;31;2015;14
10.1016/j.bbrc.2014.11.003;BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS;English;CELL LUNG-CANCER;24;2014;8
10.1016/j.rser.2014.04.070;RENEWABLE & SUSTAINABLE ENERGY REVIEWS;English;CARBON-DIOXIDE EMISSIONS;76;2014;10
10.1016/j.autcon.2013.10.023;AUTOMATION IN CONSTRUCTION;English;POINT CLOUD;243;2014;19
10.1016/j.mce.2013.10.027;MOLECULAR AND CELLULAR ENDOCRINOLOGY;English;PROLIFERATION IN-VITRO;52;2014;11
10.1016/j.autcon.2013.10.017;AUTOMATION IN CONSTRUCTION;English;CONSTRUCTION WASTE;21;2014;14
10.1007/s12273-013-0120-0;BUILDING SIMULATION;English;LIFE-CYCLE ASSESSMENT;29;2013;16
10.1021/ja405783g;JOURNAL OF THE AMERICAN CHEMICAL SOCIETY;English;SELF-ASSEMBLED MONOLAYERS;59;2013;9
10.1016/j.wasman.2013.01.001;WASTE MANAGEMENT;English;CONSTRUCTION;22;2013;13
10.1210/me.2012-1329;MOLECULAR ENDOCRINOLOGY;English;INTERNALIZATION;28;2013;12
10.1016/j.buildenv.2012.11.009;BUILDING AND ENVIRONMENT;English;ENERGY;46;2013;12
10.1080/10789669.2012.634264;HVAC&R RESEARCH;English;LIFE-CYCLE ASSESSMENT;33;2012;11
10.3992/jgb.7.2.74;JOURNAL OF GREEN BUILDING;English;LIFE-CYCLE ASSESSMENT;3;2012;13
10.1080/13602365.2011.570096;JOURNAL OF ARCHITECTURE;English;LIFE-CYCLE ASSESSMENT;26;2011;17
10.1016/j.apcata.2009.10.016;APPLIED CATALYSIS A-GENERAL;English;ALPHA-PINENE OXIDE;34;2010;6
